,index,ID,Player,Team,Position,RkOv,Status,Opponent,FPts,FP/G,%D,ADP,Ros,G,VORP,VORPrk,Value
0,0,*061vq*,Erling Haaland,MCI,F,1,FA,@CHE Sun 11:30AM,534.0,18.41,100%,1.58,99%,29.005975013579576,303.3571428571429,1,0.5800000000000001
1,1,*04y92*,Bukayo Saka,ARS,M,2,FA,WOL Sat 10:00AM,490.5,15.82,100%,2.36,100%,31.005056890012643,248.57142857142858,2,0.3599999999999999
2,2,*05nt6*,Eberechi Eze,CRY,M,3,FA,@BRF Sun 9:00AM,478.0,15.93,100%,11.37,100%,30.006277463904585,236.07142857142858,3,8.37
3,3,*03aqp*,Mohamed Salah,LIV,F,4,FA,@IPS Sat 7:30AM,463.0,15.97,100%,4.73,100%,28.991859737006887,232.35714285714286,4,0.7300000000000004
4,4,*05ocl*,Ollie Watkins,AVL,F,5,FA,@WHU Sat 12:30PM,463.0,12.86,100%,8.08,100%,36.00311041990669,232.35714285714286,5,3.08
5,5,*05l8q*,Cole Palmer,CHE,M,6,FA,MCI Sun 11:30AM,460.0,15.33,100%,3.51,100%,30.00652315720809,218.07142857142858,6,-2.49
6,6,*05gcr*,Bruno Fernandes,MUN,M,7,FA,FUL Fri 3:00PM,447.5,13.98,100%,5.55,100%,32.010014306151646,205.57142857142858,7,-1.4500000000000002
7,7,*04abb*,Phil Foden,MCI,M,8,FA,@CHE Sun 11:30AM,423.5,14.6,100%,5.94,100%,29.006849315068493,181.57142857142858,8,-2.0599999999999996
8,8,*02oox*,Kevin De Bruyne,MCI,M,9,FA,@CHE Sun 11:30AM,418.5,17.44,100%,10.12,100%,23.99655963302752,176.57142857142858,9,1.1199999999999992
9,30,*03srg*,Trent Alexander-Arnold,LIV,D,31,FA,@IPS Sat 7:30AM,299.5,9.98,100%,14.17,100%,30.01002004008016,173.35714285714286,10,4.17
10,9,*03v9d*,Son Heung-Min,TOT,F,10,FA,@LEI Mon 3:00PM,403.0,13.43,100%,9.46,100%,30.007446016381238,172.35714285714286,11,-1.5399999999999991
11,43,*05n07*,Pedro Porro,TOT,D,44,FA,@LEI Mon 3:00PM,273.0,8.27,100%,34.04,100%,33.01088270858525,146.85714285714286,12,22.04
12,10,*04mdn*,Anthony Gordon,NEW,M,11,FA,SOU Sat 10:00AM,388.0,12.93,100%,15.99,100%,30.0077339520495,146.07142857142858,13,2.99
13,11,*05r9b*,Martin Odegaard,ARS,M,12,FA,WOL Sat 10:00AM,388.0,12.12,100%,8.97,100%,32.01320132013201,146.07142857142858,14,-5.029999999999999
14,13,*06mgd*,Abdul Fatawu,LEI,F,14,FA,TOT Mon 3:00PM,353.5,12.19,90%,91.47,90%,28.999179655455293,122.85714285714286,15,76.47
15,12,*06fv8*,Mohammed Kudus,WHU,M,13,FA,AVL Sat 12:30PM,362.5,11.69,100%,19.65,99%,31.009409751924725,120.57142857142858,16,3.6499999999999986
16,14,*05o6h*,Kai Havertz,ARS,F,15,FA,WOL Sat 10:00AM,345.0,12.32,100%,19.06,99%,28.003246753246753,114.35714285714286,17,2.0599999999999987
17,64,*03gu5*,Andrew Robertson,LIV,D,65,FA,@IPS Sat 7:30AM,235.5,8.12,100%,43.44,100%,29.002463054187196,109.35714285714286,18,25.439999999999998
18,15,*04qr9*,Morgan Gibbs-White,NOT,M,16,FA,BOU Sat 10:00AM,340.5,10.32,100%,27.21,100%,32.99418604651163,98.57142857142858,19,8.21
19,17,*06cm0*,Christopher Nkunku,CHE,F,18,FA,MCI Sun 11:30AM,328.0,14.26,100%,33.32,100%,23.00140252454418,97.35714285714286,20,13.32
20,18,*0646f*,Alexander Isak,NEW,F,19,FA,SOU Sat 10:00AM,327.5,12.13,100%,11.62,100%,26.99917559769167,96.85714285714286,21,-9.38
21,80,*0427d*,James Tarkowski,EVE,D,81,FA,BHA Sat 10:00AM,221.5,6.51,99%,57.38,98%,34.024577572964674,95.35714285714286,22,35.38
