"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros"
"*061vq*","Erling Haaland","MCI","F","1","FA","@CHE Sun 11:30AM","534","18.41","100%","1.58","99%"
"*04y92*","Bukayo Saka","ARS","M","2","FA","WOL Sat 10:00AM","490.5","15.82","100%","2.36","100%"
"*05nt6*","Eberechi Eze","CRY","M","3","FA","@BRF Sun 9:00AM","478","15.93","100%","11.37","100%"
"*03aqp*","Mohamed Salah","LIV","F","4","FA","@IPS Sat 7:30AM","463","15.97","100%","4.73","100%"
"*05ocl*","Ollie Watkins","AVL","F","5","FA","@WHU Sat 12:30PM","463","12.86","100%","8.08","100%"
"*05l8q*","Cole Palmer","CHE","M","6","FA","MCI Sun 11:30AM","460","15.33","100%","3.51","100%"
"*05gcr*","Bruno Fernandes","MUN","M","7","FA","FUL Fri 3:00PM","447.5","13.98","100%","5.55","100%"
"*04abb*","Phil Foden","MCI","M","8","FA","@CHE Sun 11:30AM","423.5","14.6","100%","5.94","100%"
"*02oox*","Kevin De Bruyne","MCI","M","9","FA","@CHE Sun 11:30AM","418.5","17.44","100%","10.12","100%"
"*03v9d*","Son Heung-Min","TOT","F","10","FA","@LEI Mon 3:00PM","403","13.43","100%","9.46","100%"
"*04mdn*","Anthony Gordon","NEW","M","11","FA","SOU Sat 10:00AM","388","12.93","100%","15.99","100%"
"*05r9b*","Martin Odegaard","ARS","M","12","FA","WOL Sat 10:00AM","388","12.12","100%","8.97","100%"
"*06fv8*","Mohammed Kudus","WHU","M","13","FA","AVL Sat 12:30PM","362.5","11.69","100%","19.65","99%"
"*06mgd*","Abdul Fatawu","LEI","F","14","FA","TOT Mon 3:00PM","353.5","12.19","90%","91.47","90%"
"*05o6h*","Kai Havertz","ARS","F","15","FA","WOL Sat 10:00AM","345","12.32","100%","19.06","99%"
"*04qr9*","Morgan Gibbs-White","NOT","M","16","FA","BOU Sat 10:00AM","340.5","10.32","100%","27.21","100%"
"*0414o*","James Maddison","TOT","M","17","FA","@LEI Mon 3:00PM","333","12.81","100%","17.07","100%"
"*06cm0*","Christopher Nkunku","CHE","F","18","FA","MCI Sun 11:30AM","328","14.26","100%","33.32","100%"
"*0646f*","Alexander Isak","NEW","F","19","FA","SOU Sat 10:00AM","327.5","12.13","100%","11.62","100%"
"*04p0d*","Dwight McNeil","EVE","M","20","FA","BHA Sat 10:00AM","327.5","10.56","100%","51.38","98%"
"*05ylj*","Bruno Guimaraes","NEW","M","21","FA","SOU Sat 10:00AM","321.5","9.74","100%","28.33","99%"
"*04agz*","Declan Rice","ARS","M","22","FA","WOL Sat 10:00AM","321","9.44","100%","28.46","100%"
"*06fup*","Jeremy Doku","MCI","M","23","FA","@CHE Sun 11:30AM","316.5","15.82","100%","30.79","100%"
"*052h5*","Gabriel Martinelli","ARS","M","24","FA","WOL Sat 10:00AM","312.5","13.59","100%","40.43","100%"
"*046c5*","Jarrod Bowen","WHU","M","25","FA","AVL Sat 12:30PM","311.5","10.38","100%","21.27","100%"
"*061x2*","Darwin Nunez","LIV","F","26","FA","@IPS Sat 7:30AM","310.5","14.11","100%","24.52","100%"
"*060wh*","Alejandro Garnacho","MUN","M","28","FA","FUL Fri 3:00PM","309.5","10.67","100%","39.11","100%"
"*067yv*","Cody Gakpo","LIV","F","27","FA","@IPS Sat 7:30AM","309.5","14.07","100%","46.79","99%"
"*05r8o*","Jean-Philippe Mateta","CRY","F","29","FA","@BRF Sun 9:00AM","303","10.82","100%","48.94","99%"
"*061vn*","Rodrigo Muniz","FUL","F","30","FA","@MUN Fri 3:00PM","302.5","11.2","97%","67.49","98%"
"*03srg*","Trent Alexander-Arnold","LIV","D","31","FA","@IPS Sat 7:30AM","299.5","9.98","100%","14.17","100%"
"*048xh*","Stephy Mavididi","LEI","F","32","FA","TOT Mon 3:00PM","299","10.31","87%","104.91","87%"
"*0524k*","Rodri","MCI","M","33","FA","@CHE Sun 11:30AM","295","9.52","100%","28.15","99%"
"*068y0*","Antoine Semenyo","BOU","F","34","FA","@NOT Sat 10:00AM","294.5","11.33","90%","97.68","90%"
"*045c8*","Gabriel Jesus","ARS","F","35","FA","WOL Sat 10:00AM","291","14.55","96%","68.61","98%"
